Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
No Checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,Savings account,> 7 years,4,female : divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,27,delay in paying off in the past,car(used),8613,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,12,existing credits paid back duly till now,radio/television,766,Savings account,1 - 4 years,4,male : single,none,3,real estate,66,none,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 2 year,15,critical account/ other credits existing (not at this bank),radio/television,2728,Savings account,4- 7 years,4,male : single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,12,existing credits paid back duly till now,radio/television,1881,Savings account,1 - 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 3 year,6,existing credits paid back duly till now,car(new),709,Savings account, < 1 year,2,male : married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1,None,no,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,radio/television,4795,Savings account, < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,30,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,27,existing credits paid back duly till now,radio/television,3416,Savings account,1 - 4 years,3,male : single,none,2,"car or other, not in attribute 6",27,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,2462,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,None,yes,2
No Checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,Savings account, < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,48,all credits at this bank paid back duly,business,3566,Savings account,4- 7 years,4,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car(new),860,Savings account,> 7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),car(new),682,Savings account,4- 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",51,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,Savings account,1 - 4 years,3,male : single,guarantor,2,building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,6,existing credits paid back duly till now,radio/television,1346,Savings account,> 7 years,2,male : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
No Checking account,10,existing credits paid back duly till now,radio/television,1924,Savings account,1 - 4 years,1,male : single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,1
Salary assignments for at least 3 year,36,existing credits paid back duly till now,radio/television,5848,Savings account,1 - 4 years,4,male : single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,24,critical account/ other credits existing (not at this bank),car(used),7758,Savings account,> 7 years,2,female : divorced/separated/married,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,24,delay in paying off in the past,business,6967,Savings account,4- 7 years,4,male : single,none,4,"car or other, not in attribute 6",36,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,1282,Savings account,1 - 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,9,critical account/ other credits existing (not at this bank),repairs,1288,Savings account,> 7 years,3,male : single,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,None,no,1
Salary assignments for at least 1 year,12,all credits at this bank paid back duly,retraining,339,Savings account,> 7 years,4,male : married/widowed,none,1,"car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,car(new),3512,Savings account,4- 7 years,2,male : single,none,3,"car or other, not in attribute 6",38,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,Savings account,1 - 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,2,None,yes,1
No Checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,Savings account,> 7 years,3,male : single,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),car(new),1055,Savings account, < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,15,existing credits paid back duly till now,domestic appliances,1262,Savings account,4- 7 years,4,male : single,none,3,building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,10,existing credits paid back duly till now,car(new),7308,Savings account,unemployed,2,male : single,none,4,unknown / no property,70,bank,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,36,existing credits paid back duly till now,car(new),909,Savings account,> 7 years,4,male : single,none,4,building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,6,existing credits paid back duly till now,furniture/equipment,2978,Savings account,1 - 4 years,1,male : single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,1131,Savings account,unemployed,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,11,existing credits paid back duly till now,furniture/equipment,1577,Savings account, < 1 year,4,female : divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee / official,1,None,yes,1
